"","Rootstock","Row","Block"
"A10115","OWN",15,"A"
"B10515","C3309",15,"B"
"B20715","C3309",15,"B"
"C10915","P1103",15,"C"
"D11315","SO4",15,"D"
"D21515","SO4",15,"D"
"E21915","C3309",15,"E"
"F12115","SO4",15,"F"
"G12515","OWN",15,"G"
"G22715","OWN",15,"G"
"H12915","P1103",15,"H"
"H23115","P1103",15,"H"
"A13313","SO4",13,"A"
"A23513","SO4",13,"A"
"B13713","C3309",13,"B"
"B23913","C3309",13,"B"
"C14113","P1103",13,"C"
"C24313","P1103",13,"C"
"D14513","OWN",13,"D"
"D24713","OWN",13,"D"
"E14913","OWN",13,"E"
"E25113","OWN",13,"E"
"F15313","P1103",13,"F"
"F25513","P1103",13,"F"
"G15713","C3309",13,"G"
"G25913","C3309",13,"G"
"H16113","SO4",13,"H"
"H26313","SO4",13,"H"
